istio_request_duration_milliseconds_count_5xx_forecast_prob,istio_request_duration_milliseconds_count_5xx_forecast_mdn_output,apm.service.cpu.usertime.utilization_forecast_prob,apm.service.cpu.usertime.utilization_forecast_mdn_output,elasticsearch_os_load15_forecast_prob,elasticsearch_os_load15_forecast_mdn_output,apm.service.apdex_forecast_prob,apm.service.apdex_forecast_mdn_output,apm.service.error.count_forecast_prob,apm.service.error.count_forecast_mdn_output,throughput_forecast_prob,throughput_forecast_mdn_output,istio_request_duration_milliseconds_count_4xx_forecast_prob,istio_request_duration_milliseconds_count_4xx_forecast_mdn_output,istio_request_duration_milliseconds_count_5xx_forecast_mdn_alert,apm.service.cpu.usertime.utilization_forecast_mdn_alert,elasticsearch_os_load15_forecast_mdn_alert,apm.service.apdex_forecast_mdn_alert,apm.service.error.count_forecast_mdn_alert,throughput_forecast_mdn_alert,istio_request_duration_milliseconds_count_4xx_forecast_mdn_alert,timestamp,node_cpu_seconds_total,istio_agent_process_cpu_seconds_total,elasticsearch_data_size_fraction_agreementsearch,elasticsearch_indices_exists_agreementsearch_fraction,elasticsearch_indices_fetch_agreementsearch_fraction,elasticsearch_indices_query_agreementsearch_fraction,elasticsearch_os_cpu_percent,istio_agent_go_memstats_gc_cpu_fraction,istio_agent_process_virtual_memory_bytes,kube_daemonset_status_number_unavailable,node_cpu_seconds_total_agreementsearch,elasticsearch_cluster_health_number_of_nodes_agreementsearch,elasticsearch_cluster_health_status_agreementsearch_yellow,elasticsearch_filesystem_io_stats_device_read_operations_count,elasticsearch_jvm_memory_used_bytes_fraction,elasticsearch_os_load15,kube_pod_container_status_restarts_total,istio_tcp_connections_opened_total,istio_tcp_received_bytes_total,istio_request_duration_milliseconds_count_2xx,istio_request_duration_milliseconds_count_4xx,istio_request_duration_milliseconds_count_5xx,istio_5xx_requests_fraction_agreementsearch,apm.service.apdex,apm.service.transaction.apdex,apm.service.cpu.usertime.utilization,apm.service.error.count,apm.service.external.duration,apm.service.instance.count,apm.service.java.memory.pool,apm.service.memory.heap.committed,apm.service.memory.heap.max,apm.service.memory.heap.used,apm.service.memory.physical,apm.service.metrics.reported,apm.service.overview.web,apm.service.transaction.error.count,cpuUsage,memoryUsage,throughput,errorRate,apm.service.transaction.duration,istio_request_duration_milliseconds_count_5xx_pred,apm.service.cpu.usertime.utilization_pred,elasticsearch_os_load15_pred,apm.service.apdex_pred,apm.service.error.count_pred,throughput_pred,istio_request_duration_milliseconds_count_4xx_pred,istio_request_duration_milliseconds_count_5xx_forecast,apm.service.cpu.usertime.utilization_forecast,elasticsearch_os_load15_forecast,apm.service.apdex_forecast,apm.service.error.count_forecast,throughput_forecast,istio_request_duration_milliseconds_count_4xx_forecast
3.567966145919019e-05,0.21595591,0.010160609383037563,0.091265246,5.460075649196893e-12,0.05433065,0.0009160825975353542,0.9691875,2.1886591340595616e-17,-0.0071931123,7.527580061493908e-05,0.7034076,0.0,0.1714202,0,0,0,0,0,0,0,1623818100.0,0.8483208415422406,113.94,0.1783275097926727,0.1931927887771618,2.900582094780661,17.36662992054077,4.493827160493827,7.287975581924999e-06,785440768.0,0.0,4294070.075555556,9.0,0.0,16454603717.0,0.275328095471908,3.743333333333333,0.0,1889.0,167611399.25,1563694.75,7195.5,5.25,0.000334120422153,0.9900000095367432,0.9900000095367432,1.9587499618530275,0.0,0.0104049890147737,0.0,218.726514268098,2048.0,2048.0,751.5676866319444,2277.5133246527776,5.0,7.414921799233065e-06,12.5,3.264583269755045,2.277513324652778,905.3236447520184,0.0044539148913703,0.021162546671907,0,0,0,0,0,0,0,5.25,1.9587499618530275,3.466666666666667,0.9900000095367432,0.0,905.1734717416376,7214.25
4.0866198406259485e-05,0.21435358,0.010091997858126034,0.0912805,3.534647777452387e-12,0.05128189,0.000900652457494375,0.9702667,1.9997938005374574e-17,-0.007187736,7.439698328943488e-05,0.70332175,0.0,0.17153087,0,0,0,0,0,0,0,1623818400.0,0.8483270128663315,114.3425,0.17832936886387,0.1931932447691255,2.9005752795589963,17.36649564236833,3.888888888888889,7.301800711899999e-06,785440768.0,0.0,4294354.242500001,9.0,0.0,16454947473.333334,0.3582720803411164,3.466666666666667,0.0,1889.0,168057247.0,1566384.5,7214.25,5.25,0.0003335453388989,0.9900000095367432,0.9900000095367432,1.9587499618530275,0.0,0.0104049890147737,0.0,218.726514268098,2048.0,2048.0,751.5676866319444,2277.5133246527776,5.0,7.414921799233065e-06,12.5,3.264583269755045,2.277513324652778,905.1734717416376,0.0044539148913703,0.021162546671907,0,0,0,0,0,0,0,5.25,1.9587499618530275,3.704444444444444,0.9900000095367432,0.0,905.0232987312572,7224.0
4.847385671815834e-05,0.21271585,0.009901734527436637,0.09307559,4.810531503650386e-12,0.052669358,0.0009111975255604716,0.97027606,1.5930842229955252e-17,-0.0072555593,7.466790862993698e-05,0.70421994,0.0,0.17174315,0,0,0,0,0,0,0,1623818700.0,0.8483327316475695,114.68,0.1783298915670881,0.1931939641893547,2.9005583753592723,17.366295128380123,3.185185185185185,7.30437776145e-06,785440768.0,0.0,4294635.9869444445,9.0,0.0,16455388127.666666,0.4677864169694268,3.704444444444444,0.0,1889.25,168496420.5,1569198.25,7224.0,5.25,0.0003329482396664,0.9900000095367432,0.9900000095367432,1.9587499618530275,0.0,0.0104049890147737,0.0,218.726514268098,2048.0,2048.0,751.5676866319444,2277.5133246527776,5.0,7.414921799233065e-06,12.5,3.264583269755045,2.277513324652778,905.0232987312572,0.0044539148913703,0.021162546671907,0,0,0,0,0,0,0,5.25,1.9587499618530275,3.4644444444444447,0.9900000095367432,0.0,904.8731257208764,7236.25
3.73325782352527e-05,0.21429321,0.010051942336569702,0.090730675,2.9332630130527514e-12,0.0507525,0.0009040275193038245,0.97016245,2.443775655682298e-17,-0.007172835,7.514610069449157e-05,0.70238256,0.0,0.17183137,0,0,0,0,0,0,0,1623819000.0,0.8483391638010646,115.0925,0.1783300782583978,0.1931941918189229,2.900549301550212,17.366066762784374,1.6296296296296295,7.327948249575001e-06,785440768.0,0.0,4294921.384305555,9.0,0.0,16455845212.77778,0.3219917617400977,3.4644444444444447,0.0,1895.5,168954534.25,1571921.5,7236.25,5.25,0.0003323714597742,0.9900000095367432,0.9900000095367432,1.9587499618530275,0.0,0.0103532766118755,0.0,218.726514268098,2048.0,2048.0,751.5676866319444,2277.5133246527776,5.0,7.378069917602432e-06,12.5,3.264583269755045,2.277513324652778,904.8731257208764,0.0044539148913703,0.021162546671907,0,0,0,0,0,0,0,5.25,1.9587499618530275,3.455555555555556,0.9900000095367432,0.0,904.722952710496,7246.5
4.3450614084226814e-05,0.21398927,0.010228153634802006,0.0912231,3.4661251106731546e-12,0.051174425,0.0008748620060891362,0.9713,9.569083122021205e-18,-0.0072627235,7.219637470434886e-05,0.70451194,0.0,0.17155328,0,0,0,0,0,0,0,1623819300.0,0.8483454834535215,115.4525,0.1783561110689816,0.1932021597128303,2.900544799909427,17.365915739284954,3.469135802469136,7.331281696825e-06,785440768.0,0.0,4295206.334722223,9.0,0.0,16456256508.555555,0.4124326543614207,3.455555555555556,0.0,1905.25,169426462.75,1574535.25,7246.5,5.25,0.0003318205021025,0.9900000095367432,0.9900000095367432,1.9587499618530275,0.0,0.0098892662574624,0.0,218.726514268098,2048.0,2048.0,751.5676866319444,2277.5133246527776,5.0,3.296271578372741e-06,11.5,3.264583269755045,2.277513324652778,904.722952710496,0.0042757252976425,0.021162546671907,0,0,0,0,0,0,0,5.25,1.9190059150289545,3.335555555555556,0.9925000071525574,0.0,904.5727797001152,7257.5
4.114105240751078e-05,0.21343838,0.010428230079013882,0.0896593,2.1588115700995852e-12,0.048736304,0.000797716891385347,0.9743362,3.875723689145452e-18,-0.0074222814,7.009920386497934e-05,0.70400345,0.0,0.17152867,0,0,0,0,0,0,0,1623819600.0,0.8483516447511111,115.8725,0.1783045563611405,0.193202578234789,2.900539461417872,17.365779838699567,2.135802469135802,7.338301658125e-06,785440768.0,0.0,4295490.49263889,9.0,0.0,16456616053.333334,0.4480230750339757,3.335555555555556,0.0,1907.0,169871046.5,1577153.25,7257.5,5.25,0.0003312706898691,0.9925000071525574,0.9925000071525574,1.9190059150289545,0.0,0.0101047712171256,0.0,218.70281345844032,2047.8601869850968,2047.8601869850968,750.9360553259664,2277.4757278922248,5.0,6.5144039896739306e-06,10.75,3.1983431917149234,2.277475727892225,904.5727797001152,0.0040523022349119,0.0201590179957912,0,0,0,0,0,0,0,5.25,1.91349457673074,3.773333333333333,0.9900000095367432,0.0,904.4226066897346,7267.25
3.652737137255106e-05,0.21452455,0.009783580719504819,0.09050201,4.46129629647356e-12,0.05293517,0.0009379394807093341,0.9692734,4.393695513669484e-17,-0.006829511,8.154914400805619e-05,0.6980315,0.0,0.17271383,0,0,0,0,0,0,0,1623819900.0,0.8483575006097817,116.2475,0.1782967438273823,0.1932030642672275,2.9005282181903373,17.365633296003278,4.320987654320987,7.34249407165e-06,785440768.0,0.0,4295773.032222223,9.0,0.0,16457000726.22222,0.3066114976296945,3.773333333333333,0.0,1929.5,170361457.75,1579841.0,7267.25,5.25,0.0003307076976147,0.9900000095367432,0.9900000095367432,1.91349457673074,0.0,0.0100634009195041,0.0,218.68898596399265,2047.85781727298,2047.85781727298,750.4797191933086,2277.489393860502,5.0,1.0723130497594832e-05,12.5,3.189157627884565,2.2774893938605016,904.4226066897346,0.0048156385206636,0.0200185826347774,0,0,0,0,0,0,0,5.25,1.91349457673074,3.593333333333333,0.9900000095367432,0.0,904.272433679354,7278.75
3.7363109655794625e-05,0.21510285,0.009852445868206617,0.090309635,4.295855218325539e-12,0.052283037,0.0009277511386942364,0.9695746,4.1014462029445096e-17,-0.0067771277,8.040161941120442e-05,0.69867814,0.0,0.173015,0,0,0,0,0,0,0,1623820200.0,0.8483637022856295,116.67,0.1783012038676293,0.1932033900266911,2.900519044515962,17.365451219728968,7.209876543209877,7.350849967725e-06,785440768.0,0.0,4296057.348611112,9.0,0.0,16457348267.333334,0.3032978790563075,3.593333333333333,0.0,1929.75,170799861.25,1582523.25,7278.75,5.25,0.0003301474563707,0.9900000095367432,0.9900000095367432,1.91349457673074,0.0,0.0100634009195041,0.0,218.68898596399265,2047.85781727298,2047.85781727298,750.4797191933086,2277.489393860502,5.0,1.0723130497594832e-05,12.75,3.189157627884565,2.2774893938605016,904.272433679354,0.0048156385206636,0.0200185826347774,0,0,0,0,0,0,0,5.25,1.91349457673074,3.656666666666667,0.9900000095367432,0.0,904.1222606689734,7287.5
5.002906667686388e-05,0.21074341,0.00949035181187044,0.0919766,3.123001253134695e-12,0.050186075,0.0009301148029865939,0.9705934,3.3978530223710777e-17,-0.0069212853,7.932059289947598e-05,0.69934523,0.0,0.1728916,0,0,0,0,0,0,0,1623820500.0,0.8483696734290872,117.025,0.1783047418896857,0.1932038594117716,2.9005113598261207,17.365318564704452,1.469135802469136,7.35436132625e-06,785440768.0,0.0,4296340.5425,9.0,0.0,16457683162.88889,0.5074503559971788,3.656666666666667,0.0,1930.0,171240626.5,1585164.5,7287.5,5.25,0.0003295976727098,0.9900000095367432,0.9900000095367432,1.91349457673074,0.0,0.0100634009195041,0.0,218.68898596399265,2047.85781727298,2047.85781727298,750.4797191933086,2277.489393860502,5.0,1.0723130497594832e-05,12.5,3.189157627884565,2.2774893938605016,904.1222606689734,0.0048156385206636,0.0200185826347774,0,0,0,0,0,0,0,5.25,1.91349457673074,3.4777777777777783,0.9900000095367432,0.0,903.9720876585928,7296.75
3.6723038816512295e-05,0.21408126,0.009742432958630597,0.09001441,2.8576718345849e-12,0.050235264,0.0009280964659760955,0.9698664,5.235832572748539e-17,-0.0067979647,8.059785512473613e-05,0.6979816,0.0,0.17332195,0,0,0,0,0,0,0,1623820800.0,0.848375717477929,117.435,0.1782988238779224,0.1932042706349237,2.9005034875451603,17.365158278748087,3.888888888888889,7.362655256725e-06,785440768.0,0.0,4296624.105972222,9.0,0.0,16458006696.77778,0.3100927314487259,3.4777777777777783,0.0,1930.0,171674854.0,1587824.0,7296.75,5.25,0.0003290475453302,0.9900000095367432,0.9900000095367432,1.91349457673074,0.0,0.0100634009195041,0.0,218.68898596399265,2047.85781727298,2047.85781727298,750.4797191933086,2277.489393860502,5.0,1.0723130497594832e-05,13.0,3.189157627884565,2.2774893938605016,903.9720876585928,0.0048156385206636,0.0200185826347774,0,0,0,0,0,0,0,5.25,1.91349457673074,3.062222222222222,0.9900000095367432,0.0,903.8219146482122,7310.25
